n_epochs,embedding_dim,lr,num_filters,sent_vector_size,training_time,accuracy,f1 score
15,300,0.1,350,850,0 days 00:01:34.353634,0.6823188405797102,0.7827121332275971
15,300,0.01,350,850,0 days 00:01:31.935103,0.7049275362318841,0.7990525069088037
20,300,0.1,350,850,0 days 00:01:59.321875,0.6904347826086956,0.7809680065627563
20,300,0.01,350,850,0 days 00:01:58.371396,0.7078260869565217,0.7980769230769231
20,300,0.01,350,850,0 days 00:01:58.371396,0.7084057971014492,0.8159531650201244
15,300,0.1,350,900,0 days 00:01:25.516271,0.6765217391304348,0.7722448979591836
15,300,0.01,350,900,0 days 00:01:25.324783,0.7008695652173913,0.7957244655581948
20,300,0.1,350,900,0 days 00:01:56.650996,0.6811594202898551,0.7747747747747747
20,300,0.01,350,900,0 days 00:01:58.250835,0.6747826086956522,0.7714867617107942
15,300,0.1,350,1000,0 days 00:01:33.162834,0.6788405797101449,0.7818897637795276
15,300,0.01,350,1000,0 days 00:01:29.347455,0.6991304347826087,0.7942925089179547
20,300,0.1,350,1000,0 days 00:02:04.563591,0.6921739130434783,0.7921722113502936
20,300,0.01,350,1000,0 days 00:02:04.236212,0.6915942028985507,0.7900552486187846
15,300,0.1,350,1050,0 days 00:01:29.166508,0.6933333333333334,0.7862626262626262
15,300,0.01,350,1050,0 days 00:01:32.169179,0.6857971014492754,0.7852614896988908
20,300,0.1,350,1050,0 days 00:02:05.200630,0.6730434782608695,0.7696078431372549
20,300,0.01,350,1050,0 days 00:02:06.727049,0.6857971014492754,0.777504105090312
15,300,0.1,400,850,0 days 00:01:50.673983,0.6939130434782609,0.7865804365400161
15,300,0.01,400,850,0 days 00:01:48.151734,0.6979710144927537,0.7920159680638722
20,300,0.1,400,850,0 days 00:02:36.699711,0.6684057971014493,0.7699115044247788
20,300,0.01,400,850,0 days 00:02:16.232622,0.6846376811594203,0.7804681194511702
15,300,0.1,400,900,0 days 00:01:39.928723,0.6898550724637681,0.7876141325922985
15,300,0.01,400,900,0 days 00:01:40.889155,0.6869565217391305,0.778688524590164
20,300,0.1,400,900,0 days 00:02:16.269183,0.6568115942028986,0.7508417508417508
20,300,0.01,400,900,0 days 00:02:11.812445,0.6684057971014493,0.7582417582417582
15,300,0.1,400,1000,0 days 00:01:40.707640,0.6771014492753623,0.777467039552537
15,300,0.01,400,1000,0 days 00:01:40.287764,0.6695652173913044,0.7650453421269577
20,300,0.1,400,1000,0 days 00:02:14.180113,0.6753623188405797,0.7676348547717843
20,300,0.01,400,1000,0 days 00:02:13.419170,0.6643478260869565,0.7590511860174781
15,300,0.1,400,1050,0 days 00:01:40.576991,0.6892753623188406,0.7894736842105263
15,300,0.01,400,1050,0 days 00:01:43.715631,0.6852173913043478,0.7747822480298632
20,300,0.1,400,1050,0 days 00:02:13.955717,0.664927536231884,0.7525684931506849
20,300,0.01,400,1050,0 days 00:02:14.311759,0.6765217391304348,0.7785714285714286
15,300,0.1,500,850,0 days 00:02:10.704679,0.6608695652173913,0.7626774847870182
15,300,0.01,500,850,0 days 00:02:10.125956,0.6753623188405797,0.7723577235772359
20,300,0.1,500,850,0 days 00:02:53.647654,0.6510144927536232,0.7389418907198613
20,300,0.01,500,850,0 days 00:02:56.771426,0.6701449275362319,0.7668988119623106
15,300,0.1,500,900,0 days 00:02:11.712800,0.6950724637681159,0.7925867507886436
15,300,0.01,500,900,0 days 00:02:10.600684,0.6666666666666666,0.7655931512433755
20,300,0.1,500,900,0 days 00:02:54.248942,0.6979710144927537,0.785508439687114
20,300,0.01,500,900,0 days 00:02:54.853339,0.6620289855072464,0.7581916217337206
15,300,0.1,500,1000,0 days 00:02:13.128923,0.6927536231884058,0.7836734693877551
15,300,0.01,500,1000,0 days 00:02:20.994893,0.6701449275362319,0.7657472210786332
