n_epochs,embedding_dim,lr,num_filters,sent_vector_size,training_time,accuracy,f1 score
80,50,0.1,150,300,0 days 00:01:44.815652,0.6921739130434783,0.8068388504910876
80,50,0.01,150,300,0 days 00:01:44.232213,0.6944927536231884,0.8088501994922017
100,50,0.1,150,300,0 days 00:02:11.639549,0.6828985507246377,0.8002920774005111
100,50,0.01,150,300,0 days 00:02:09.915520,0.673623188405797,0.7874669686674217
120,50,0.1,150,300,0 days 00:02:34.167655,0.6672463768115942,0.7800766283524904
120,50,0.01,150,300,0 days 00:02:32.534023,0.6823188405797102,0.7947565543071161
150,50,0.1,150,300,0 days 00:03:17.253425,0.6608695652173913,0.7774819322936477
150,50,0.01,150,300,0 days 00:03:14.038012,0.6684057971014493,0.7786377708978328
80,50,0.1,150,350,0 days 00:01:44.881476,0.6840579710144927,0.8058425365158531
80,50,0.01,150,350,0 days 00:01:44.804683,0.6846376811594203,0.8031837916063675
100,50,0.1,150,350,0 days 00:02:10.933794,0.6747826086956522,0.7921452389773991
100,50,0.01,150,350,0 days 00:02:10.487004,0.6857971014492754,0.8026219956300072
120,50,0.1,150,350,0 days 00:02:39.198883,0.6852173913043478,0.8037585833032165
120,50,0.01,150,350,0 days 00:02:33.655023,0.6788405797101449,0.7921980495123782
150,50,0.1,150,350,0 days 00:03:11.541856,0.6805797101449276,0.7956989247311829
150,50,0.01,150,350,0 days 00:03:14.827899,0.6759420289855073,0.7914957105557628
80,50,0.1,200,300,0 days 00:02:22.255513,0.68,0.7976539589442815
80,50,0.01,200,300,0 days 00:02:23.670728,0.6794202898550724,0.7941942687011537
100,50,0.1,200,300,0 days 00:02:59.223265,0.6794202898550724,0.79388743943347
100,50,0.01,200,300,0 days 00:02:57.683757,0.6840579710144927,0.8013124316441852
120,50,0.1,200,300,0 days 00:03:29.472732,0.6817391304347826,0.7903780068728522
120,50,0.01,200,300,0 days 00:03:33.720362,0.6788405797101449,0.7955719557195572
150,50,0.1,200,300,0 days 00:04:25.142829,0.6840579710144927,0.7954971857410883
150,50,0.01,200,300,0 days 00:04:28.806199,0.6643478260869565,0.7809307604994324
80,50,0.1,200,350,0 days 00:02:21.507514,0.6840579710144927,0.8002931476731404
80,50,0.01,200,350,0 days 00:02:22.175745,0.6788405797101449,0.7972181551976574
100,50,0.1,200,350,0 days 00:02:56.718336,0.6718840579710145,0.7868975903614458
100,50,0.01,200,350,0 days 00:03:01.200365,0.6834782608695652,0.7971768202080237
120,50,0.1,200,350,0 days 00:03:32.114664,0.6689855072463768,0.785095972901769
120,50,0.01,200,350,0 days 00:03:32.117654,0.6852173913043478,0.7999999999999999
150,50,0.1,200,350,0 days 00:04:24.613264,0.6765217391304348,0.7873475609756098
150,50,0.01,200,350,0 days 00:04:29.570986,0.6747826086956522,0.7838150289017342
80,50,0.1,250,300,0 days 00:03:37.409516,0.6852173913043478,0.7977653631284914
80,50,0.01,250,300,0 days 00:03:36.207715,0.6823188405797102,0.7949101796407186
100,50,0.1,250,300,0 days 00:04:28.585621,0.6840579710144927,0.8005854372484451
100,50,0.01,250,300,0 days 00:04:32.213931,0.6828985507246377,0.7965786537746373
120,50,0.1,250,300,0 days 00:05:20.609476,0.6707246376811594,0.7896296296296297
120,50,0.01,250,300,0 days 00:05:22.111493,0.6689855072463768,0.7826417967263037
150,50,0.1,250,300,0 days 00:06:45.188267,0.672463768115942,0.7865508122402719
150,50,0.01,250,300,0 days 00:06:44.042321,0.6672463768115942,0.7775193798449612
80,50,0.1,250,350,0 days 00:03:39.218678,0.6678260869565218,0.7783365570599614
80,50,0.01,250,350,0 days 00:03:37.759565,0.6823188405797102,0.799853907962016
100,50,0.1,250,350,0 days 00:04:31.288396,0.6811594202898551,0.7976453274466518
100,50,0.01,250,350,0 days 00:04:33.167381,0.6742028985507247,0.7915430267062313
120,50,0.1,250,350,0 days 00:05:28.432551,0.68,0.7921686746987953
120,50,0.01,250,350,0 days 00:05:26.727127,0.6660869565217391,0.7836213373403456
150,50,0.1,250,350,0 days 00:06:49.561573,0.6788405797101449,0.789193302891933
150,50,0.01,250,350,0 days 00:06:48.218240,0.6788405797101449,0.7931292008961911
